Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Borealis,Sniper Rifle,Borealis,Sniper Rifle Borealis,ALL,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,90,54,62,75,45,55,65,5,12,45,See Exotic box below for more information,-,Sniper Rifle -,Sniper Rifle Borealis -,Borealis,,,,,,,,FALSE,FALSE,TRUE,Sniper Rifle ALL Special
The Mountaintop,Grenade Launcher,Lightweight,Grenade Launcher Lightweight,Kinetic,Special,6241,-,90,-,-,-,-,1,0%,0,1,-,-,1,-,1.00,1.00,-,-,-,-,-,-,-,-,55,78,31,72,67,75,62,1,0,13,"""One-shot handheld Grenade Launcher with remote detonation."" ",-,Grenade Launcher -,Grenade Launcher Lightweight -,The Mountaintop,,,,,,,,FALSE,TRUE,FALSE,
Cloudstrike,Sniper Rifle,Cloudstrike,Sniper Rifle Cloudstrike,Arc,Special,15926,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,60,64,61,40,70,68,7,7,50,See Exotic box below for more information,-,Sniper Rifle -,Sniper Rifle Cloudstrike -,Cloudstrike,,,,,,,,FALSE,FALSE,TRUE,Sniper Rifle Arc Special
The Old Fashioned,Hand Cannon,Adaptive,Hand Cannon Adaptive,Kinetic,Primary,2724,1.00,139,69,46,1.50,0.87,3,100%,3,0,-,1.73,5,-,1.15,1.15,14.00,0.00,1.375,1.375,16.000,0.096,20.22,27.81,84,44,55,51,49,65,95,9,0,14,"""A well-rounded grip, reliable and sturdy."" ",-,Hand Cannon -,Hand Cannon Adaptive -,The Old Fashioned,,,,,,,,FALSE,TRUE,FALSE,
D.A.R.C.I.,Sniper Rifle,D.A.R.C.I,Sniper Rifle D.A.R.C.I,Arc,Heavy,18383,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,40,75,80,40,60,60,7,18,40,See Exotic box below for more information,-,Sniper Rifle -,Sniper Rifle D.A.R.C.I -,D.A.R.C.I.,,,,,,,,FALSE,FALSE,TRUE,Sniper Rifle Arc Heavy
Izanagi's Burden,Sniper Rifle,Izanagi's Burden,Sniper Rifle Izanagi's Burden,Kinetic,Special,15056,1.00,90,386,131,2.95,-,1,100%,1,0,-,0.67,2,-,-,-,-,-,-,-,-,-,0,0,70,58,56,47,40,60,62,4,6,45,See Exotic box below for more information,-,Sniper Rifle -,Sniper Rifle Izanagi's Burden -,Izanagi's Burden,,,,,,,,FALSE,FALSE,TRUE,Sniper Rifle Kinetic Special
Apostate,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Arc,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,36,41,65,61,51,73,5,2,40,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.6755,Sniper Rifle 6.67548575329572,Sniper Rifle Rapid-Fire 6.67548575329572,Apostate,0.81,0.90,0.90,0.90,0.90,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Arc Special
Distant Tumulus,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Solar,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,29,30,63,57,47,72,5,2,45,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.1772,Sniper Rifle 6.1771584885153,Sniper Rifle Rapid-Fire 6.1771584885153,Distant Tumulus,0.81,0.90,0.90,0.90,0.90,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
The Recluse,Submachine Gun,Lightweight,Submachine Gun Lightweight,Void,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.05,1.00,14.00,0.00,1.275,1.275,6.300,0.126,12.10,15.42,15,46,56,67,35,55,100,36,0,14,"""Superb handling. Move faster with this weapon equipped."" ",-,Submachine Gun -,Submachine Gun Lightweight -,The Recluse,,,,,,,,FALSE,TRUE,FALSE,
The Ringing Nail,Auto Rifle,Precision,Auto Rifle Precision,Solar,Primary,3369,1.00,450,30,20,1.50,0.80,7,86%,6,1,-,1.20,10,-,1.00,1.00,16.00,0.00,1.575,1.575,10.800,0.107,17.76,27.96,29,65,51,51,52,37,69,32,0,16,"""This weapon's recoil pattern is more predictably vertical."" ",-,Auto Rifle -,Auto Rifle Precision -,The Ringing Nail,,,,,,,,FALSE,TRUE,FALSE,
Father's Sins,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Void,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,31,31,66,55,48,73,5,1,35,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.3553,Sniper Rifle 6.35530760660465,Sniper Rifle Rapid-Fire 6.35530760660465,Father's Sins,0.9,0.90,1.03,0.90,1.00,0.95,1.05,TRUE,FALSE,FALSE,Sniper Rifle Void Special
The Spiteful Fang,Combat Bow,Lightweight,Combat Bow Lightweight,Kinetic,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,0.80,1.00,-,-,-,-,-,-,-,-,68,53,55,73,64,76,0,1,0,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",-,Combat Bow -,Combat Bow Lightweight -,The Spiteful Fang,,,,,,,,FALSE,TRUE,FALSE,
IKELOS_SR_v1.0.2,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Solar,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,30,39,67,57,45,73,5,2,45,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.1358,Sniper Rifle 7.13579337395679,Sniper Rifle Rapid-Fire 7.13579337395679,IKELOS_SR_v1.0.2,0.9,0.90,1.00,0.90,1.00,0.95,1.00,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
Omniscient Eye,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Solar,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,37,36,70,57,44,72,5,2,40,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.4946,Sniper Rifle 6.49463225835487,Sniper Rifle Rapid-Fire 6.49463225835487,Omniscient Eye,0.81,0.90,0.90,0.90,0.90,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
Praedyth's Revenge,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Kinetic,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,34,40,70,63,60,78,5,2,49,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.7264,Sniper Rifle 7.72635159025886,Sniper Rifle Rapid-Fire 7.72635159025886,Praedyth's Revenge,0.9,0.90,0.95,0.90,1.00,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
The Supremacy,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Kinetic,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,32,38,68,62,42,77,5,2,40,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",7.1459,Sniper Rifle 7.145940316743,Sniper Rifle Rapid-Fire 7.145940316743,The Supremacy,0.9,0.90,0.95,0.90,1.00,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Kinetic Special
Twilight Oath,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Solar,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,27,36,65,58,45,70,5,2,35,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.8288,Sniper Rifle 6.82876286275759,Sniper Rifle Rapid-Fire 6.82876286275759,Twilight Oath,0.9,0.90,0.95,0.90,1.00,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
Widow's Bite,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Solar,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,-,-,-,-,-,-,-,-,0,0,55,29,35,66,56,33,69,5,2,45,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",6.0617,Sniper Rifle 6.06171406020821,Sniper Rifle Rapid-Fire 6.06171406020821,Widow's Bite,0.81,0.90,0.90,0.90,0.90,0.95,0.90,FALSE,FALSE,FALSE,Sniper Rifle Solar Special
Whisper of the Worm,Sniper Rifle,Whisper of the Worm,Sniper Rifle Whisper of the Worm,Solar,Heavy,19892,1.00,72,761,170,4.48,-,1,100%,1,0,-,0.83,2,-,-,-,-,-,-,-,-,-,0,0,100,85,35,23,36,60,39,3,20,40,See Exotic box below for more information,-,Sniper Rifle -,Sniper Rifle Whisper of the Worm -,Whisper of the Worm,,,,,,,,FALSE,FALSE,TRUE,Sniper Rifle Solar Heavy
Pizzicato-22,Submachine Gun,Adaptive,Submachine Gun Adaptive,Kinetic,Primary,4300,1.00,900,16,11,1.44,0.73,12,100%,12,0,-,1.13,18,-,1.26,0.84,14.00,0.00,1.275,1.275,6.300,0.126,11.72,14.94,20,43,50,61,50,45,90,34,22,14,"""A well-rounded grip, reliable and sturdy."" ",11.0385,Submachine Gun 11.0385345169152,Submachine Gun Adaptive 11.0385345169152,Pizzicato-22,1,1.00,1.05,1.00,1.00,1.00,1.10,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
The Vow,Combat Bow,Lightweight,Combat Bow Lightweight,Solar,Primary,3265,1.00,580,138,86,1.60,-,2,50%,1,1,-,-,3,-,0.80,1.00,-,-,-,-,-,-,-,-,68,54,64,64,64,84,0,1,0,18,"""Recurve Bow. Draw quickly and move faster while this weapon is equipped."" ",-,Combat Bow -,Combat Bow Lightweight -,The Vow,,,,,,,,FALSE,TRUE,FALSE,
The Hero's Burden,Submachine Gun,Adaptive,Submachine Gun Adaptive,Void,Primary,4300,1.00,900,16,11,1.44,0.73,12,100%,12,0,-,1.13,18,-,1.26,0.84,14.00,0.00,1.275,1.275,6.300,0.126,11.84,15.10,20,44,40,59,53,51,93,33,12,14,"""A well-rounded grip, reliable and sturdy."" ",9.5308,Submachine Gun 9.53080226030647,Submachine Gun Adaptive 9.53080226030647,The Hero's Burden,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Void Primary
Blood Feud,Submachine Gun,Aggressive,Submachine Gun Aggressive,Stasis,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,-0.10,1.275,1.175,6.300,0.126,10.96,12.88,23,37,11,48,21,30,97,27,19,14,"""High damage, high recoil."" ",8.5475,Submachine Gun 8.54745559123421,Submachine Gun Aggressive 8.54745559123421,Blood Feud,0.9975,1.00,1.05,0.95,1.05,1.00,1.05,TRUE,FALSE,FALSE,Submachine Gun Stasis Primary
Borrowed Time,Submachine Gun,Aggressive,Submachine Gun Aggressive,Solar,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,0.00,1.275,1.275,6.300,0.126,10.96,13.98,22,37,18,52,22,38,82,26,12,15,"""High damage, high recoil."" ",8.3173,Submachine Gun 8.31728758037795,Submachine Gun Aggressive 8.31728758037795,Borrowed Time,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Solar Primary
Thin Line,Hand Cannon,Aggressive,Hand Cannon Aggressive,Void,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,0.95,0.95,14.00,0.00,1.375,1.375,16.000,0.115,22.90,31.49,92,60,17,22,21,60,88,9,0,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",-,Hand Cannon -,Hand Cannon Aggressive -,Thin Line,,,,,,,,FALSE,TRUE,FALSE,
Cold Front,Submachine Gun,Aggressive,Submachine Gun Aggressive,Kinetic,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,-0.10,1.275,1.175,6.300,0.126,11.34,13.32,22,40,7,53,19,29,92,27,12,14,"""High damage, high recoil."" ",7.4317,Submachine Gun 7.43166133687953,Submachine Gun Aggressive 7.43166133687953,Cold Front,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
Extraordinary Rendition,Submachine Gun,Aggressive,Submachine Gun Aggressive,Kinetic,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,0.00,1.275,1.275,6.300,0.126,11.59,14.78,22,42,8,55,22,34,97,28,12,15,"""High damage, high recoil."" ",7.8852,Submachine Gun 7.8852440608375,Submachine Gun Aggressive 7.8852440608375,Extraordinary Rendition,0.95,1.00,0.95,0.95,1.00,1.00,0.90,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
IKELOS_SMG_v1.0.2,Submachine Gun,Aggressive,Submachine Gun Aggressive,Arc,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,-0.10,1.275,1.175,6.300,0.126,11.84,13.92,22,44,25,62,24,37,90,30,12,14,"""High damage, high recoil."" ",9.2157,Submachine Gun 9.21574422693359,Submachine Gun Aggressive 9.21574422693359,IKELOS_SMG_v1.0.2,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Arc Primary
Threat Level,Shotgun,Rapid-Fire,Shotgun Rapid-Fire,Kinetic,Special,10927,1.00,139,-,17,-,-,12,0%,-,12,-,0.43,2,-,0.90,1.00,12.00,0.00,-,-,-,-,-,-,65,37,45,48,68,74,66,7,0,12,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty. "" ",-,Shotgun -,Shotgun Rapid-Fire -,Threat Level,,,,,,,,FALSE,TRUE,FALSE,
Throne-Cleaver,Sword,Aggressive,Sword Aggressive,Void,Heavy,20429,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,1.00,1.05,-,-,-,-,-,-,-,-,73,60,0,0,20,10,50,48,0,10,"""[Heavy Attack] : Launch a heavy slam attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Aggressive -,Throne-Cleaver,,,,,,,,FALSE,TRUE,FALSE,
Through Fire and Flood,Grenade Launcher,Adaptive,Grenade Launcher Adaptive,Arc,Heavy,16543,-,120,-,-,-,-,1,0%,0,1,0.50,-,1,-,1.10,1.00,-,-,-,-,-,-,-,-,30,36,47,51,45,69,77,6,0,13,"""A well-rounded grip, reliable and sturdy."" ",-,Grenade Launcher -,Grenade Launcher Adaptive -,Through Fire and Flood,,,,,,,,FALSE,TRUE,FALSE,
The Title,Submachine Gun,Aggressive,Submachine Gun Aggressive,Void,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,0.00,1.275,1.275,6.300,0.126,11.34,14.46,22,40,20,48,23,32,85,28,21,15,"""High damage, high recoil."" ",8.9742,Submachine Gun 8.97423839066332,Submachine Gun Aggressive 8.97423839066332,The Title,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Void Primary
Unforgiven,Submachine Gun,Aggressive,Submachine Gun Aggressive,Void,Primary,4591,1.00,750,21,14,1.47,0.73,10,70%,7,3,-,1.03,14,-,1.13,0.75,15.00,-0.10,1.275,1.175,6.300,0.126,11.72,13.77,22,43,16,50,21,33,93,28,20,14,"""High damage, high recoil."" ",8.7842,Submachine Gun 8.78422748220534,Submachine Gun Aggressive 8.78422748220534,Unforgiven,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Void Primary
CALUS Mini-Tool,Submachine Gun,Lightweight,Submachine Gun Lightweight,Solar,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,10.08,12.85,15,30,49,65,31,49,80,37,28,14,"""Superb handling. Move faster with this weapon equipped."" ",10.6850,Submachine Gun 10.6850259570177,Submachine Gun Lightweight 10.6850259570177,CALUS Mini-Tool,1.1025,1.05,1.05,1.05,1.05,1.00,1.05,TRUE,FALSE,FALSE,Submachine Gun Solar Primary
Death Adder,Submachine Gun,Lightweight,Submachine Gun Lightweight,Solar,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,9.95,12.69,15,29,35,60,26,55,95,37,12,14,"""Superb handling. Move faster with this weapon equipped."" ",8.5697,Submachine Gun 8.5696827483217,Submachine Gun Lightweight 8.5696827483217,Death Adder,1.05,1.05,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Solar Primary
Escape Velocity,Submachine Gun,Lightweight,Submachine Gun Lightweight,Kinetic,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,9.32,11.89,15,24,32,70,24,45,80,37,12,14,"""Superb handling. Move faster with this weapon equipped."" ",8.0846,Submachine Gun 8.0846139249561,Submachine Gun Lightweight 8.0846139249561,Escape Velocity,1.05,1.05,0.95,1.05,1.00,1.00,0.90,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
Funnelweb,Submachine Gun,Lightweight,Submachine Gun Lightweight,Void,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,11.21,14.30,15,39,44,70,31,54,96,31,20,14,"""Superb handling. Move faster with this weapon equipped."" ",10.1232,Submachine Gun 10.1231857062249,Submachine Gun Lightweight 10.1231857062249,Funnelweb,1.05,1.05,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Void Primary
MIDA Mini-Tool,Submachine Gun,Lightweight,Submachine Gun Lightweight,Solar,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,10.08,12.85,15,30,49,65,31,49,80,37,28,14,"""Superb handling. Move faster with this weapon equipped."" ",9.1586,Submachine Gun 9.15859367744375,Submachine Gun Lightweight 9.15859367744375,MIDA Mini-Tool,0.945,1.05,0.90,1.05,0.90,1.00,0.90,FALSE,FALSE,FALSE,Submachine Gun Solar Primary
Multimach CCX,Submachine Gun,Lightweight,Submachine Gun Lightweight,Kinetic,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,9.95,12.69,15,29,38,70,26,55,100,36,12,14,"""Superb handling. Move faster with this weapon equipped."" ",8.8360,Submachine Gun 8.83596792914765,Submachine Gun Lightweight 8.83596792914765,Multimach CCX,1.05,1.05,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
Trackless Waste,Submachine Gun,Adaptive,Submachine Gun Adaptive,Kinetic,Primary,4300,1.00,900,16,11,1.44,0.73,12,100%,12,0,-,1.13,18,-,1.00,1.00,14.00,0.00,1.275,1.275,6.300,0.126,11.34,14.46,20,40,49,45,50,52,85,34,0,14,"""A well-rounded grip, reliable and sturdy."" ",-,Submachine Gun -,Submachine Gun Adaptive -,Trackless Waste,,,,,,,,FALSE,TRUE,FALSE,
Out of Bounds,Submachine Gun,Lightweight,Submachine Gun Lightweight,Arc,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,10.33,13.17,15,32,43,67,28,55,95,36,23,14,"""Superb handling. Move faster with this weapon equipped."" ",9.9178,Submachine Gun 9.91782892981194,Submachine Gun Lightweight 9.91782892981194,Out of Bounds,1.05,1.05,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Arc Primary
Traitor's Fate,Sword,Adaptive,Sword Adaptive,Arc,Heavy,17272,-,-,-,-,-,-,1,0%,0,1,-,-,1,-,0.95,0.95,-,-,-,-,-,-,-,-,60,40,0,0,20,10,60,62,0,46,"""[Heavy Attack] : Launch a heavy uppercut attack. Heavy attacks are stronger with full energy."" ",-,Sword -,Sword Adaptive -,Traitor's Fate,,,,,,,,FALSE,TRUE,FALSE,
Stochastic Variable,Submachine Gun,Lightweight,Submachine Gun Lightweight,Arc,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.00,1.275,1.275,6.300,0.126,10.46,13.33,15,33,35,50,27,52,95,36,12,14,"""Superb handling. Move faster with this weapon equipped."" ",8.5540,Submachine Gun 8.55401700555805,Submachine Gun Lightweight 8.55401700555805,Stochastic Variable,1.05,1.05,1.00,1.05,1.00,1.00,1.00,FALSE,FALSE,FALSE,Submachine Gun Arc Primary
Submission,Submachine Gun,Lightweight,Submachine Gun Lightweight,Kinetic,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.28,0.83,14.00,0.10,1.275,1.375,6.300,0.126,9.95,13.69,15,29,45,70,29,58,100,37,27,15,"""Superb handling. Move faster with this weapon equipped."" ",10.8612,Submachine Gun 10.8612066539974,Submachine Gun Lightweight 10.8612066539974,Submission,1.1025,1.05,1.05,1.05,1.05,1.00,1.05,TRUE,FALSE,FALSE,Submachine Gun Kinetic Primary
Translation Theory,Sidearm,Adaptive,Sidearm Adaptive,Solar,Primary,5137,1.00,300,51,37,1.39,0.60,4,100%,4,0,-,1.00,6,-,1.05,1.00,13.00,-0.10,1.175,1.075,11.600,0.034,12.86,13.82,49,37,67,55,37,81,96,15,0,12,"""A well-rounded grip, reliable and sturdy."" ",-,Sidearm -,Sidearm Adaptive -,Translation Theory,,,,,,,,FALSE,TRUE,FALSE,
Osteo Striga,Submachine Gun,Osteo Striga,Submachine Gun Osteo Striga,Kinetic,Primary,6114,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.36,0.90,13.00,0.10,1.275,1.375,6.300,0.126,16.38,22.52,25,80,37,26,18,55,99,27,27,14,See Exotic box below for more information,-,Submachine Gun -,Submachine Gun Osteo Striga -,Osteo Striga,,,,,,,,TRUE,FALSE,TRUE,Submachine Gun Kinetic Primary
Enyo-D,Submachine Gun,Precision,Submachine Gun Precision,Kinetic,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.36,0.90,15.00,0.00,1.275,1.275,6.300,0.126,12.47,15.90,25,49,37,25,18,55,87,27,13,15,"""This weapon's recoil pattern is more predictably vertical."" ",8.4596,Submachine Gun 8.45958765563616,Submachine Gun Precision 8.45958765563616,Enyo-D,1,1.00,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
Every Waking Moment,Submachine Gun,Precision,Submachine Gun Precision,Void,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.36,0.90,15.00,-0.10,1.275,1.175,6.300,0.126,12.47,14.66,25,49,38,22,18,56,91,26,12,14,"""This weapon's recoil pattern is more predictably vertical."" ",8.2911,Submachine Gun 8.29108897902106,Submachine Gun Precision 8.29108897902106,Every Waking Moment,1,1.00,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Submachine Gun Void Primary
Forensic Nightmare,Submachine Gun,Precision,Submachine Gun Precision,Stasis,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.36,0.90,15.00,-0.10,1.275,1.175,6.300,0.126,12.60,14.81,25,50,38,21,17,52,91,27,23,14,"""This weapon's recoil pattern is more predictably vertical."" ",9.5396,Submachine Gun 9.53958665943105,Submachine Gun Precision 9.53958665943105,Forensic Nightmare,1.05,1.00,1.03,1.00,1.05,0.95,1.00,TRUE,FALSE,FALSE,Submachine Gun Stasis Primary
Trophy Hunter,Sniper Rifle,Aggressive,Sniper Rifle Aggressive,Void,Special,8611,1.00,72,474,158,3.00,-,1,100%,1,0,-,0.83,2,-,1.05,1.05,-,-,-,-,-,-,-,-,90,80,30,31,41,46,80,3,0,50,"""High damage, high recoil."" ",-,Sniper Rifle -,Sniper Rifle Aggressive -,Trophy Hunter,,,,,,,,FALSE,TRUE,FALSE,
Friction Fire,Submachine Gun,Precision,Submachine Gun Precision,Kinetic,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.36,0.90,15.00,0.10,1.275,1.375,6.300,0.126,12.73,17.50,25,51,37,21,18,52,85,26,12,16,"""This weapon's recoil pattern is more predictably vertical."" ",8.2363,Submachine Gun 8.23632756338301,Submachine Gun Precision 8.23632756338301,Friction Fire,1,1.00,1.00,1.00,1.00,0.95,1.00,FALSE,FALSE,FALSE,Submachine Gun Kinetic Primary
Trust,Hand Cannon,Precision,Hand Cannon Precision,Solar,Primary,2865,1.00,180,60,40,1.50,1.00,4,50%,2,2,-,1.33,5,-,0.95,1.00,14.00,0.00,1.375,1.375,16.000,0.096,19.55,26.88,78,37,56,35,50,78,96,9,0,14,"""Recoil pattern on this weapon is more predictably vertical. Fires quickly with high accuracy."" ",-,Hand Cannon -,Hand Cannon Precision -,Trust,,,,,,,,FALSE,TRUE,FALSE,
Seventh Seraph VY-7,Submachine Gun,Precision,Submachine Gun Precision,Arc,Primary,3875,1.00,600,22,15,1.46,0.80,9,89%,8,1,-,1.20,13,-,1.36,0.90,15.00,-0.10,1.275,1.175,6.300,0.126,13.10,15.40,25,54,42,20,19,57,91,27,12,14,"""This weapon's recoil pattern is more predictably vertical."" ",7.6466,Submachine Gun 7.64664110386352,Submachine Gun Precision 7.64664110386352,Seventh Seraph VY-7,0.9,1.00,0.90,1.00,0.90,0.95,0.90,FALSE,FALSE,FALSE,Submachine Gun Arc Primary
